"global_id","model_sec_id","river_id","old_pos_1based","new_pos_1based","reach_name","reach_start_node","reach_end_node","reach_section_count","source_section_name","distance_to_next","roughness","merged_reach_name","merged_local_idx_0based","sheet_name"
"71","81","5","2","2","sec5","6","7","5","sec003003","2220.0","0.025","sec5","1","81"
"72","82","5","3","3","sec5","6","7","5","sec003004","2010.0","0.025","sec5","2","82"
"73","83","5","4","4","sec5","6","7","5","sec003005","1710.0","0.025","sec5","3","83"
"74","7","5","5","5","sec5","6","7","5","sec003006","0.0","0.025","sec5","4","7"
"75","7","6","1","1","sec6","7","8","2","sec022001","600.0","0.029","sec6","0","7_sec6_0"
"76","8","6","2","2","sec6","7","8","2","sec022002","0.0","0.029","sec6","1","8"
"77","8","7","1","1","sec7","8","9","10","sec004001","1620.0","0.029","sec7","0","8_sec7_0"
"78","84","7","2","2","sec7","8","9","10","sec004002","1790.0","0.029","sec7","1","84"
"79","85","7","3","3","sec7","8","9","10","sec004003","1833.0","0.029","sec7","2","85"
"80","86","7","4","4","sec7","8","9","10","sec004004","2037.0","0.029","sec7","3","86"
"81","87","7","5","5","sec7","8","9","10","sec004005","1730.0","0.029","sec7","4","87"
"82","88","7","6","6","sec7","8","9","10","sec004006","1895.0","0.029","sec7","5","88"
"83","89","7","7","7","sec7","8","9","10","sec004007","1160.0","0.029","sec7","6","89"
"84","90","7","8","8","sec7","8","9","10","sec004008","1120.0","0.029","sec7","7","90"
"85","91","7","9","9","sec7","8","9","10","sec004009","1010.0","0.029","sec7","8","91"
"86","9","7","10","10","sec7","8","9","10","sec004010","0.0","0.029","sec7","9","9"
"87","9","8","1","1","sec8","9","10","15","sec005001","1020.0","0.029","sec8","0","9_sec8_0"
"88","92","8","2","2","sec8","9","10","15","sec005002","1160.0","0.029","sec8","1","92"
"89","93","8","3","3","sec8","9","10","15","sec005003","1550.0","0.029","sec8","2","93"
"90","94","8","4","4","sec8","9","10","15","sec005004","1620.0","0.029","sec8","3","94"
"91","95","8","5","5","sec8","9","10","15","sec005005","1390.0","0.029","sec8","4","95"
"92","96","8","6","6","sec8","9","10","15","sec005006","1660.0","0.029","sec8","5","96"
"93","97","8","7","7","sec8","9","10","15","sec005007","1000.0","0.029","sec8","6","97"
"94","98","8","8","8","sec8","9","10","15","sec005008","1590.0","0.029","sec8","7","98"
"95","99","8","9","9","sec8","9","10","15","sec005009","1530.0","0.029","sec8","8","99"
"96","100","8","10","10","sec8","9","10","15","sec005010","2020.0","0.029","sec8","9","100"
"97","101","8","11","11","sec8","9","10","15","sec005011","1150.0","0.029","sec8","10","101"
"98","102","8","12","12","sec8","9","10","15","sec005012","1970.0","0.029","sec8","11","102"
"99","103","8","13","13","sec8","9","10","15","sec005013","1020.0","0.029","sec8","12","103"
"100","104","8","14","14","sec8","9","10","15","sec005014","1160.0","0.029","sec8","13","104"
"101","10","8","15","15","sec8","9","10","15","sec005015","0.0","0.029","sec8","14","10"
"102","9","9","1","1","sec9","9","11","2","sec020001","600.0","0.029","sec9","0","9_sec9_0"
"103","11","9","2","2","sec9","9","11","2","sec020002","0.0","0.029","sec9","1","11"
"104","11","10","1","1","sec10","11","12","18","sec006001","1140.0","0.029","sec10","0","11_sec10_0"
"105","105","10","2","2","sec10","11","12","18","sec006002","1060.0","0.029","sec10","1","105"
"106","106","10","3","3","sec10","11","12","18","sec006003","1850.0","0.029","sec10","2","106"
"107","107","10","4","4","sec10","11","12","18","sec006004","1090.0","0.029","sec10","3","107"
"108","108","10","5","5","sec10","11","12","18","sec006005","1020.0","0.029","sec10","4","108"
"109","109","10","6","6","sec10","11","12","18","sec006006","1090.0","0.029","sec10","5","109"
"110","110","10","7","7","sec10","11","12","18","sec006007","1030.0","0.029","sec10","6","110"
"111","111","10","8","8","sec10","11","12","18","sec006008","1580.0","0.029","sec10","7","111"
"112","112","10","9","9","sec10","11","12","18","sec006009","1300.0","0.029","sec10","8","112"
"113","113","10","10","10","sec10","11","12","18","sec006010","1010.0","0.029","sec10","9","113"
"114","114","10","11","11","sec10","11","12","18","sec006011","1140.0","0.029","sec10","10","114"
"115","115","10","12","12","sec10","11","12","18","sec006012","1340.0","0.029","sec10","11","115"
"116","116","10","13","13","sec10","11","12","18","sec006013","1180.0","0.029","sec10","12","116"
"117","117","10","14","14","sec10","11","12","18","sec006014","1430.0","0.029","sec10","13","117"
"118","118","10","15","15","sec10","11","12","18","sec006015","1100.0","0.029","sec10","14","118"
"119","119","10","16","16","sec10","11","12","18","sec006016","1160.0","0.029","sec10","15","119"
"120","120","10","17","17","sec10","11","12","18","sec006017","1040.0","0.029","sec10","16","120"
"121","12","10","18","18","sec10","11","12","18","sec006018","0.0","0.029","sec10","17","12"
"122","12","11","1","1","sec11","12","10","2","sec021001","600.0","0.029","sec11","0","12_sec11_0"
"123","10","11","2","2","sec11","12","10","2","sec021002","0.0","0.029","sec11","1","10_sec11_1"
"124","10","12","1","1","sec12","10","13","12","sec007001","1900.0","0.029","sec12","0","10_sec12_0"
"125","121","12","2","2","sec12","10","13","12","sec007002","1400.0","0.029","sec12","1","121"
"126","122","12","3","3","sec12","10","13","12","sec007003","1540.0","0.029","sec12","2","122"
"127","123","12","4","4","sec12","10","13","12","sec007004","1870.0","0.029","sec12","3","123"
"128","124","12","5","5","sec12","10","13","12","sec007005","1750.0","0.029","sec12","4","124"
"129","125","12","6","6","sec12","10","13","12","sec007006","1640.0","0.029","sec12","5","125"
"130","126","12","7","7","sec12","10","13","12","sec007007","1490.0","0.029","sec12","6","126"
"131","127","12","8","8","sec12","10","13","12","sec007008","1350.0","0.029","sec12","7","127"
"132","128","12","9","9","sec12","10","13","12","sec007009","1580.0","0.029","sec12","8","128"
"133","129","12","10","10","sec12","10","13","12","sec007010","1770.0","0.029","sec12","9","129"
"134","130","12","11","11","sec12","10","13","12","sec007011","1440.0","0.029","sec12","10","130"
"135","13","12","12","12","sec12","10","13","12","sec007012","0.0","0.029","sec12","11","13"
"136","13","13","1","1","sec13","13","4","13","sec008001","1950.0","0.035","sec13","0","13_sec13_0"
"137","131","13","2","2","sec13","13","4","13","sec008002","1370.0","0.035","sec13","1","131"
"138","132","13","3","3","sec13","13","4","13","sec008003","1450.0","0.035","sec13","2","132"
"139","133","13","4","4","sec13","13","4","13","sec008004","1150.0","0.035","sec13","3","133"
"140","134","13","5","5","sec13","13","4","13","sec008005","1070.0","0.035","sec13","4","134"
"141","135","13","6","6","sec13","13","4","13","sec008006","1900.0","0.035","sec13","5","135"
"142","136","13","7","7","sec13","13","4","13","sec008007","1030.0","0.035","sec13","6","136"
"143","137","13","8","8","sec13","13","4","13","sec008008","1310.0","0.035","sec13","7","137"
"144","138","13","9","9","sec13","13","4","13","sec008009","1970.0","0.035","sec13","8","138"
"145","139","13","10","10","sec13","13","4","13","sec008010","1150.0","0.035","sec13","9","139"
"146","140","13","11","11","sec13","13","4","13","sec008011","1750.0","0.035","sec13","10","140"
"147","141","13","12","12","sec13","13","4","13","sec008012","1170.0","0.035","sec13","11","141"
"148","4","13","13","13","sec13","13","4","13","sec008013","0.0","0.035","sec13","12","4_sec13_12"
