"section_id","boundary_type","time_hours","discharge_m3s","water_level_m"
"19","upstream","30.0","1518.33","36.133"
"19","upstream","31.0","1517.5","36.14"
"19","upstream","32.0","1516.67","36.147"
"19","upstream","33.0","1515.83","36.154"
"19","upstream","34.0","1515.0","36.16"
"19","upstream","35.0","1514.17","36.166"
"19","upstream","36.0","1513.33","36.172"
"19","upstream","37.0","1512.5","36.177"
"19","upstream","38.0","1511.67","36.182"
"19","upstream","39.0","1510.83","36.186"
"19","upstream","40.0","1510.0","36.19"
"19","upstream","41.0","1505.42","36.193"
"19","upstream","42.0","1500.83","36.194"
"19","upstream","43.0","1496.25","36.195"
"19","upstream","44.0","1491.67","36.196"
"19","upstream","45.0","1487.08","36.196"
"19","upstream","46.0","1482.5","36.195"
"19","upstream","47.0","1477.92","36.194"
"5","downstream","0.0","0.0","32.817"
"5","downstream","1.0","419.561","32.818"
"5","downstream","2.0","451.26","32.818"
"5","downstream","3.0","453.606","32.819"
"5","downstream","4.0","450.166","32.82"
"5","downstream","5.0","446.065","32.821"
"5","downstream","6.0","443.744","32.822"
"5","downstream","7.0","443.212","32.822"
"5","downstream","8.0","443.956","32.823"
"5","downstream","9.0","445.831","32.824"
"5","downstream","10.0","449.066","32.825"
"5","downstream","11.0","453.159","32.826"
"5","downstream","12.0","457.882","32.827"
"5","downstream","13.0","463.474","32.827"
"5","downstream","14.0","469.481","32.828"
"5","downstream","15.0","475.688","32.829"
"5","downstream","16.0","482.378","32.83"
"5","downstream","17.0","484.748","32.834"
"5","downstream","18.0","489.419","32.838"
"5","downstream","19.0","494.499","32.841"
"5","downstream","20.0","500.084","32.845"
"5","downstream","21.0","505.788","32.849"
"5","downstream","22.0","511.45","32.853"
"5","downstream","23.0","517.229","32.856"
"5","downstream","24.0","523.184","32.86"
"5","downstream","25.0","529.093","32.864"
"5","downstream","26.0","534.829","32.868"
"5","downstream","27.0","540.586","32.871"
"5","downstream","28.0","546.413","32.875"
"5","downstream","29.0","552.07","32.879"
"5","downstream","30.0","557.453","32.882"
"5","downstream","31.0","562.764","32.886"
"5","downstream","32.0","568.067","32.89"
"5","downstream","33.0","573.137","32.894"
"5","downstream","34.0","577.894","32.897"
"5","downstream","35.0","582.55","32.901"
"5","downstream","36.0","587.181","32.905"
"5","downstream","37.0","591.572","32.909"
"5","downstream","38.0","595.648","32.912"
"5","downstream","39.0","599.62","32.916"
"5","downstream","40.0","603.582","32.92"
"5","downstream","41.0","608.99","32.923"
"5","downstream","42.0","613.315","32.925"
"5","downstream","43.0","617.356","32.928"
"5","downstream","44.0","621.139","32.93"
"5","downstream","45.0","624.696","32.932"
"5","downstream","46.0","628.04","32.935"
"5","downstream","47.0","631.194","32.938"
"18","downstream","0.0","0.0","32.817"
"18","downstream","1.0","374.192","32.818"
"18","downstream","2.0","490.313","32.818"
"18","downstream","3.0","476.355","32.819"
"18","downstream","4.0","474.226","32.82"
"18","downstream","5.0","487.119","32.821"
"18","downstream","6.0","504.042","32.822"
"18","downstream","7.0","522.473","32.822"
"18","downstream","8.0","540.848","32.823"
"18","downstream","9.0","558.641","32.824"
"18","downstream","10.0","575.956","32.825"
"18","downstream","11.0","592.54","32.826"
"18","downstream","12.0","608.206","32.827"
"18","downstream","13.0","623.116","32.827"
"18","downstream","14.0","637.16","32.828"
"18","downstream","15.0","650.336","32.829"
"18","downstream","16.0","662.937","32.83"
"18","downstream","17.0","671.894","32.834"
"18","downstream","18.0","681.893","32.838"
"18","downstream","19.0","691.719","32.841"
"18","downstream","20.0","701.229","32.845"
"18","downstream","21.0","710.209","32.849"
"18","downstream","22.0","718.643","32.853"
"18","downstream","23.0","726.727","32.856"
"18","downstream","24.0","734.463","32.86"
"18","downstream","25.0","741.69","32.864"
"18","downstream","26.0","748.369","32.868"
"18","downstream","27.0","754.682","32.871"
"18","downstream","28.0","760.72","32.875"
"18","downstream","29.0","766.339","32.879"
"18","downstream","30.0","771.514","32.882"
"18","downstream","31.0","776.424","32.886"
"18","downstream","32.0","781.14","32.89"
"18","downstream","33.0","785.51","32.894"
"18","downstream","34.0","789.504","32.897"
"18","downstream","35.0","793.292","32.901"
"18","downstream","36.0","796.931","32.905"
"18","downstream","37.0","800.281","32.909"
"18","downstream","38.0","803.311","32.912"
"18","downstream","39.0","806.185","32.916"
"18","downstream","40.0","808.974","32.92"
"18","downstream","41.0","812.65","32.923"
"18","downstream","42.0","815.425","32.925"
"18","downstream","43.0","817.871","32.928"
"18","downstream","44.0","820.082","32.93"
"18","downstream","45.0","822.049","32.932"
"18","downstream","46.0","823.704","32.935"
"18","downstream","47.0","825.148","32.938"
