"section_id","boundary_type","time_hours","discharge_m3s","water_level_m"
"1","upstream","0.0","1.0","33.477"
"1","upstream","1.0","72.4","34.428"
"1","upstream","2.0","72.03","34.633"
"1","upstream","3.0","71.67","34.78"
"1","upstream","4.0","71.3","34.897"
"1","upstream","5.0","70.93","34.984"
"1","upstream","6.0","70.57","35.056"
"1","upstream","7.0","70.2","35.114"
"1","upstream","8.0","69.83","35.158"
"1","upstream","9.0","69.47","35.195"
"1","upstream","10.0","69.1","35.226"
"1","upstream","11.0","68.73","35.253"
"1","upstream","12.0","68.37","35.276"
"1","upstream","13.0","68.0","35.298"
"1","upstream","14.0","67.63","35.315"
"1","upstream","15.0","67.27","35.328"
"1","upstream","16.0","66.9","35.338"
"1","upstream","17.0","66.79","35.35"
"1","upstream","18.0","66.68","35.361"
"1","upstream","19.0","66.58","35.372"
"1","upstream","20.0","66.47","35.382"
"1","upstream","21.0","66.36","35.391"
"1","upstream","22.0","66.25","35.399"
"1","upstream","23.0","66.14","35.408"
"1","upstream","24.0","66.03","35.415"
"1","upstream","25.0","65.92","35.423"
"1","upstream","26.0","65.82","35.43"
"1","upstream","27.0","65.71","35.437"
"1","upstream","28.0","65.6","35.444"
"1","upstream","29.0","65.49","35.451"
"1","upstream","30.0","65.38","35.457"
"1","upstream","31.0","65.28","35.464"
"1","upstream","32.0","65.17","35.47"
"1","upstream","33.0","65.06","35.476"
"1","upstream","34.0","64.95","35.482"
"1","upstream","35.0","64.84","35.486"
"1","upstream","36.0","64.73","35.49"
"1","upstream","37.0","64.63","35.493"
"1","upstream","38.0","64.52","35.497"
"1","upstream","39.0","64.41","35.5"
"1","upstream","40.0","64.3","35.502"
"1","upstream","41.0","63.81","35.502"
"1","upstream","42.0","63.32","35.5"
"1","upstream","43.0","62.84","35.496"
"1","upstream","44.0","62.35","35.491"
"1","upstream","45.0","61.86","35.486"
"1","upstream","46.0","61.38","35.478"
"1","upstream","47.0","60.89","35.469"
"19","upstream","0.0","20.0","34.782"
"19","upstream","1.0","1567.5","35.4"
"19","upstream","2.0","1565.0","35.479"
"19","upstream","3.0","1562.5","35.534"
"19","upstream","4.0","1560.0","35.582"
"19","upstream","5.0","1557.5","35.631"
"19","upstream","6.0","1555.0","35.675"
"19","upstream","7.0","1552.5","35.715"
"19","upstream","8.0","1550.0","35.753"
"19","upstream","9.0","1547.5","35.787"
"19","upstream","10.0","1545.0","35.819"
"19","upstream","11.0","1542.5","35.849"
"19","upstream","12.0","1540.0","35.874"
"19","upstream","13.0","1537.5","35.897"
"19","upstream","14.0","1535.0","35.918"
"19","upstream","15.0","1532.5","35.938"
"19","upstream","16.0","1530.0","35.956"
"19","upstream","17.0","1529.17","35.974"
"19","upstream","18.0","1528.33","35.991"
"19","upstream","19.0","1527.5","36.008"
"19","upstream","20.0","1526.67","36.023"
"19","upstream","21.0","1525.83","36.037"
"19","upstream","22.0","1525.0","36.051"
"19","upstream","23.0","1524.17","36.063"
"19","upstream","24.0","1523.33","36.075"
"19","upstream","25.0","1522.5","36.086"
"19","upstream","26.0","1521.67","36.097"
"19","upstream","27.0","1520.83","36.107"
"19","upstream","28.0","1520.0","36.116"
"19","upstream","29.0","1519.17","36.124"
