"reach_name","section_id","distance_to_next_m","manning_n"
"sec4","79","1750.0","0.035"
"sec4","80","1170.0","0.035"
"sec4","5","170.0","0.035"
"sec5","6","2724.0","0.025"
"sec5","81","2220.0","0.025"
"sec5","82","2010.0","0.025"
"sec5","83","1710.0","0.025"
"sec5","7","0.0","0.025"
"sec6","7","600.0","0.029"
"sec6","8","0.0","0.029"
"sec7","8","1620.0","0.029"
"sec7","84","1790.0","0.029"
"sec7","85","1833.0","0.029"
"sec7","86","2037.0","0.029"
"sec7","87","1730.0","0.029"
"sec7","88","1895.0","0.029"
"sec7","89","1160.0","0.029"
"sec7","90","1120.0","0.029"
"sec7","91","1010.0","0.029"
"sec7","9","0.0","0.029"
"sec8","9","1020.0","0.029"
"sec8","92","1160.0","0.029"
"sec8","93","1550.0","0.029"
"sec8","94","1620.0","0.029"
"sec8","95","1390.0","0.029"
"sec8","96","1660.0","0.029"
"sec8","97","1000.0","0.029"
"sec8","98","1590.0","0.029"
"sec8","99","1530.0","0.029"
"sec8","100","2020.0","0.029"
"sec8","101","1150.0","0.029"
"sec8","102","1970.0","0.029"
"sec8","103","1020.0","0.029"
"sec8","104","1160.0","0.029"
"sec8","10","0.0","0.029"
"sec9","9","600.0","0.029"
"sec9","11","0.0","0.029"
