"section_id","station_x","elevation_z"
"1","0.000000","38.845000"
"1","21.804000","36.881000"
"1","43.608000","34.326000"
"1","64.394000","34.042000"
"1","67.007000","34.006000"
"1","75.516000","31.038000"
"1","96.789000","31.038000"
"1","103.170000","32.127000"
"1","106.361000","34.025000"
"1","117.529000","35.942000"
"1","152.760000","35.984000"
"1","182.916000","36.000000"
"1","195.704000","35.791000"
"1","233.498000","35.409000"
"1","300.578000","35.383000"
"1","352.417000","35.484000"
"1","382.368000","36.261000"
"1","405.767000","36.994000"
"1","419.594000","38.365000"
"1","433.953000","39.501000"
"2","0.000000","38.845000"
"2","21.804000","36.881000"
"2","43.608000","34.326000"
"2","64.394000","34.042000"
"2","67.007000","34.006000"
"2","75.516000","31.038000"
"2","96.789000","31.038000"
"2","103.170000","32.127000"
"2","106.361000","34.025000"
"2","117.529000","35.942000"
"2","152.760000","35.984000"
"2","182.916000","36.000000"
"2","195.704000","35.791000"
"2","233.498000","35.409000"
"2","300.578000","35.383000"
"2","352.417000","35.484000"
"2","382.368000","36.261000"
"2","405.767000","36.994000"
"2","419.594000","38.365000"
"2","433.953000","39.501000"
"3","0.000000","38.845000"
"3","21.804000","36.881000"
"3","43.608000","34.326000"
"3","64.394000","34.042000"
"3","67.007000","34.006000"
"3","75.516000","31.038000"
"3","96.789000","31.038000"
"3","103.170000","32.127000"
"3","106.361000","34.025000"
"3","117.529000","35.942000"
"3","152.760000","35.984000"
"3","182.916000","36.000000"
"3","195.704000","35.791000"
"3","233.498000","35.409000"
"3","300.578000","35.383000"
"3","352.417000","35.484000"
"3","382.368000","36.261000"
"3","405.767000","36.994000"
"3","419.594000","38.365000"
"3","433.953000","39.501000"
"4","3.713000","38.898000"
"4","21.393000","37.451000"
"4","46.227000","37.247000"
"4","60.028000","36.555000"
"4","67.886000","34.006000"
"4","74.762000","31.044000"
"4","82.620000","29.069000"
"4","103.574000","28.977000"
"4","120.599000","33.891000"
"4","149.981000","34.645000"
"4","167.419000","34.971000"
"4","201.179000","34.634000"
"4","238.141000","36.004000"
"4","257.458000","38.186000"
"4","270.882000","39.680000"
"5","0.000000","38.444000"
"5","12.497000","38.418000"
"5","56.517000","36.768000"
"5","80.347000","35.828000"
"5","91.942000","35.349000"
"5","112.821000","35.365000"
"5","140.703000","34.862000"
"5","179.780000","34.424000"
"5","217.340000","34.000000"
"5","225.838000","30.029000"
"5","246.369000","30.029000"
"5","265.561000","34.063000"
"5","293.587000","34.542000"
"5","321.797000","35.115000"
"5","327.153000","36.635000"
"5","351.316000","39.173000"
"5","364.198000","43.192000"
"6","0.000000","38.038000"
"6","14.693000","37.388000"
"6","28.467000","36.010000"
"6","84.656000","35.332000"
"6","112.031000","33.004000"
"6","117.235000","31.050000"
"6","146.926000","30.975000"
"6","155.190000","33.079000"
"6","200.481000","35.351000"
"6","205.696000","36.236000"
"6","221.001000","37.113000"
"6","238.142000","40.420000"
"6","249.774000","42.115000"
"7","0.000000","38.960000"
"7","5.500000","38.980000"
"7","10.400000","36.260000"
"7","32.200000","36.020000"
"7","55.300000","35.820000"
"7","78.300000","33.820000"
"7","79.300000","35.220000"
"7","85.300000","35.220000"
"7","95.700000","31.040000"
"7","113.900000","30.040000"
"7","135.900000","29.540000"
"7","147.900000","31.040000"
"7","157.900000","35.550000"
"7","182.900000","35.700000"
"7","219.100000","35.880000"
"7","221.100000","34.380000"
"7","237.000000","34.500000"
"7","238.000000","35.100000"
"7","261.200000","35.040000"
"7","299.000000","36.500000"
"7","305.800000","39.270000"
"7","311.800000","39.270000"
"8","0.000000","38.329000"
"8","8.015000","36.956000"
"8","14.573000","37.219000"
"8","30.603000","35.056000"
"8","64.268000","36.017000"
"8","124.587000","36.211000"
"8","178.825000","36.262000"
"8","216.573000","36.353000"
"8","270.253000","35.715000"
"8","291.431000","35.361000"
"8","358.334000","34.237000"
"8","370.878000","34.004000"
"8","377.435000","32.981000"
"8","388.365000","30.117000"
