"section_id","boundary_type","time_hours","discharge_m3s","water_level_m"
"1","upstream","0.0","1.0","36.194"
"1","upstream","1.0","64.03","36.196"
"1","upstream","2.0","63.74","36.193"
"1","upstream","3.0","63.44","36.191"
"1","upstream","4.0","63.15","36.19"
"1","upstream","5.0","62.85","36.189"
"1","upstream","6.0","62.55","36.189"
"1","upstream","7.0","62.26","36.189"
"1","upstream","8.0","61.96","36.189"
"1","upstream","9.0","61.67","36.188"
"1","upstream","10.0","61.37","36.187"
"1","upstream","11.0","61.08","36.185"
"1","upstream","12.0","60.78","36.182"
"1","upstream","13.0","60.48","36.178"
"1","upstream","14.0","60.19","36.174"
"1","upstream","15.0","59.89","36.169"
"1","upstream","16.0","59.6","36.164"
"1","upstream","17.0","59.3","36.158"
"1","upstream","18.0","59.04","36.151"
"1","upstream","19.0","58.78","36.144"
"1","upstream","20.0","58.52","36.137"
"1","upstream","21.0","58.27","36.129"
"1","upstream","22.0","58.01","36.121"
"1","upstream","23.0","57.75","36.113"
"1","upstream","24.0","57.49","36.104"
"1","upstream","25.0","57.23","36.094"
"1","upstream","26.0","56.98","36.085"
"1","upstream","27.0","56.72","36.075"
"1","upstream","28.0","56.46","36.065"
"1","upstream","29.0","56.2","36.055"
"1","upstream","30.0","55.94","36.045"
"1","upstream","31.0","55.68","36.035"
"1","upstream","32.0","55.42","36.024"
"1","upstream","33.0","55.17","36.013"
"1","upstream","34.0","54.91","36.002"
"1","upstream","35.0","54.65","35.991"
"1","upstream","36.0","54.39","35.979"
"1","upstream","37.0","54.13","35.967"
"1","upstream","38.0","53.88","35.955"
"1","upstream","39.0","53.62","35.944"
"1","upstream","40.0","53.36","35.932"
"1","upstream","41.0","53.1","35.92"
"1","upstream","42.0","52.94","35.908"
"1","upstream","43.0","52.78","35.897"
"1","upstream","44.0","52.63","35.886"
"1","upstream","45.0","52.47","35.875"
"1","upstream","46.0","52.31","35.864"
"1","upstream","47.0","52.15","35.853"
"1","upstream","48.0","51.99","35.842"
"1","upstream","49.0","51.83","35.831"
"1","upstream","50.0","51.67","35.821"
"1","upstream","51.0","51.52","35.81"
"1","upstream","52.0","51.36","35.8"
"1","upstream","53.0","51.2","35.79"
"1","upstream","54.0","51.04","35.78"
"1","upstream","55.0","50.88","35.77"
"1","upstream","56.0","50.73","35.76"
"1","upstream","57.0","50.57","35.75"
"1","upstream","58.0","50.41","35.741"
"1","upstream","59.0","50.25","35.731"
